,u,v,distance(m),street type,speed(km/h)
0,711327755,711332946,58,1,15
2,711327755,55725841,15,2,20
3,711327755,711327760,165,1,15
4,711327756,703557073,4,0,10
5,711327756,711332946,8,1,15
7,711327756,711331420,44,0,10
8,711327759,711331451,8,2,20
10,711327759,703557072,5,1,15
11,711327759,711331434,32,0,10
12,711327760,603633283,14,2,20
13,711327760,711331451,59,0,10
15,711327760,711327755,165,2,20
16,777781264,777781181,14,0,10
17,777781264,387153082,14,1,15
18,711327758,711334152,7,0,10
20,711327758,277517039,3,2,20
22,164102232,664379095,33,1,15
24,26476632,242399609,391,2,20
25,26476632,26476659,156,0,10
26,26476637,1883787496,290,0,10
27,356125087,356124993,107,1,15
28,356125087,269327461,97,1,15
29,356125087,356125211,45,1,15
30,26476659,452327956,368,1,15
31,26476659,26476642,244,1,15
32,123338879,1201417396,12,0,10
33,123338879,123351761,70,0,10
34,123338879,949544827,16,2,20
35,560988348,122765960,5,2,20
36,560988348,531390737,5,2,20
37,560988348,758611953,66,0,10
38,560988354,560988348,86,2,20
39,560988354,554240025,4,2,20
40,560988354,2347007247,5,0,10
41,560988353,844501003,4,1,15
42,560988353,2347007251,5,0,10
43,560988353,3810637310,12,1,15
44,4733403342,3112130621,8,1,15
45,4733403342,4733403343,31,1,15
46,4733403342,3112130620,46,1,15
47,4733403343,4733403342,31,1,15
48,367132897,306067099,53,0,10
49,367132897,6207245784,58,1,15
50,579993929,579993932,22,0,10
51,579993929,579994432,29,1,15
52,579993929,579989632,76,2,20
53,579993932,579993929,22,1,15
54,579993932,579994885,31,1,15
55,579993932,579994804,32,2,20
56,767820114,767820210,81,0,10
57,767820114,767820372,26,1,15
58,767820114,368389680,56,0,10
59,767820114,368390159,89,0,10
60,552599908,233274996,41,2,20
61,552599908,552599910,80,2,20
62,552599908,596044684,69,1,15
63,552599910,233275064,40,1,15
64,552599910,552599908,80,0,10
65,711328116,711328222,90,1,15
66,711328116,711328221,87,1,15
67,711328116,708721951,10,1,15
68,711328116,3998393838,19,2,20
69,1496842667,576860104,58,0,10
70,1496842667,2977758614,58,1,15
71,591397296,4520380454,7,2,20
72,591397296,591396149,26,0,10
73,767820210,368390158,39,2,20
74,767820210,767820114,81,1,15
75,767820210,368389680,127,0,10
76,711328220,711328221,11,1,15
77,711328221,711328116,87,1,15
78,711328221,711328220,11,0,10
79,711328221,708717124,15,1,15
80,711328221,708721952,11,2,20
81,711328222,711328116,90,1,15
82,711328222,387153106,79,1,15
83,767820372,767820114,26,0,10
84,6226313833,575570532,56,0,10
85,6226313833,746924730,11,2,20
86,6226313833,746924716,19,1,15
87,6226313835,1450727063,4,2,20
88,6226313835,4458803297,19,2,20
89,6226313835,266736930,35,0,10
90,6226313838,576833372,7,2,20
91,6226313839,4818305069,13,2,20
92,6226313842,576834725,15,1,15
93,6226313842,6226313846,272,2,20
94,6226313842,576830260,147,1,15
95,6226313846,575467530,7,2,20
96,6226313846,575384839,44,1,15
97,6226313846,575518666,297,0,10
98,6226313846,6226313842,272,0,10
99,591266434,519817337,14,1,15
100,591266434,519816456,445,1,15
101,591266434,2421604152,69,1,15
102,3276407461,92141618,68,2,20
103,3276407461,3276407462,11,1,15
104,3276407462,3276407463,37,0,10
105,3276407462,3276407461,11,1,15
106,3276407462,3884089009,57,1,15
107,3276407463,3276407462,37,0,10
108,775946936,775946941,13,1,15
109,775946936,767737648,10,2,20
110,775946936,777825195,20,2,20
111,775946938,775933087,71,1,15
112,775946938,775933182,11,2,20
113,775946938,777831779,12,1,15
114,579994300,579994432,188,1,15
115,775946941,775946936,13,2,20
116,775946941,775946115,4,0,10
117,775946941,777832638,11,0,10
118,1132069602,1132069641,10,2,20
119,1132069602,1132069644,66,0,10
121,1132069603,60653717,4,1,15
122,1132069603,1132069648,3,2,20
123,1132069603,1132069607,13,0,10
124,1132069605,92130447,10,2,20
125,1132069605,4950043382,19,0,10
126,1132069607,1132069603,13,1,15
127,1132069607,1132069656,66,0,10
129,1132069611,711762037,4,1,15
130,1132069611,711761697,2,2,20
131,1132069611,1132069644,18,1,15
132,1132069612,1132069613,4,1,15
133,1132069612,1132069637,30,1,15
134,1132069613,635530384,6,1,15
135,1132069613,4950043383,7,1,15
136,1132069615,1132069649,128,1,15
137,1132069615,1132069626,26,1,15
138,1132069617,1132069605,4,2,20
139,1132069617,1132069615,125,0,10
140,579470070,579478046,35,1,15
141,579470070,55905953,32,2,20
142,579470070,294619847,670,0,10
143,1132069623,1132069653,5,1,15
144,1132069623,60653717,6,0,10
145,1132069623,506050894,30,1,15
146,1132069623,2385153640,94,1,15
147,1132069624,1668523155,8,1,15
148,1132069624,60653700,9,1,15
149,1132069624,635530497,115,1,15
150,1132069624,1132069636,74,0,10
151,1132069626,1132069615,26,1,15
152,1132069626,1132069605,102,0,10
153,1132069631,711761815,3,0,10
154,1132069631,711761743,4,2,20
155,1132069631,1132069656,18,2,20
156,1132069636,711762206,92,0,10
157,1132069636,711763999,7,0,10
158,1132069636,1132069624,74,1,15
159,1132069637,1132069658,160,1,15
160,1132069641,1132069658,4,2,20
161,1132069641,711763999,4,1,15
162,1132069641,1132069602,10,0,10
163,1132069644,1132069611,18,0,10
164,1132069644,1132069602,66,2,20
166,1132069648,1132069603,3,0,10
167,1132069648,1132069658,5,2,20
168,1132069648,709839156,85,2,20
169,1132069649,1132070463,39,1,15
170,1132069649,1132069626,153,0,10
171,1132069653,1132069623,5,0,10
172,1132069653,506050308,5,1,15
173,1132069653,571457502,94,2,20
174,1132069656,1132069631,18,0,10
175,1132069656,1132069607,66,1,15
177,1132069658,1132069648,5,2,20
178,1132069658,1132069641,4,1,15
179,1132069658,709844184,85,0,10
180,54552166,575430811,8,1,15
182,54552166,575396024,14,2,20
184,579994432,579993929,29,1,15
185,579994432,579994300,188,1,15
186,579994432,579994721,189,2,20
187,560988998,844418490,4,0,10
188,560988998,560989015,53,2,20
189,560988998,844418826,22,1,15
190,54552170,54552169,12,1,15
192,54552170,54552172,19,1,15
194,54552172,54552170,19,1,15
196,54552172,54552173,14,0,10
198,54552173,54552172,14,1,15
200,54552173,575383168,14,2,20
202,560989015,528650042,88,0,10
203,560989015,560988998,53,1,15
204,560989015,844417606,29,0,10
205,54552174,575384239,17,0,10
207,54552174,575384241,42,2,20
208,54552174,1449298227,25,0,10
209,54552176,575385211,21,2,20
211,54552176,575376690,14,1,15
213,2935358336,2935358339,5,1,15
214,2935358336,2935371905,302,0,10
216,2935358337,2935358343,4,2,20
217,2935358337,2935358344,5,0,10
218,2935358337,2935371919,278,1,15
219,54552182,575429242,14,1,15
221,54552182,575429249,15,1,15
223,2935358339,2935358336,5,1,15
224,2935358339,2935358346,5,1,15
225,2935358343,2935358346,5,1,15
226,2935358343,2935358337,4,0,10
227,2935358344,2935358337,5,2,20
228,2935358344,2935371908,253,0,10
229,2935358346,2935358339,5,1,15
230,2935358346,2935358343,5,1,15
231,2935358346,2935371923,290,1,15
232,667681693,3148693049,45,0,10
233,54552188,575390860,19,0,10
235,54552188,575388293,7,1,15
237,560989090,307349874,11,1,15
238,560989090,560989091,8,2,20
239,560989090,301537530,48,1,15
240,560989091,560989092,5,1,15
241,560989091,560989090,8,1,15
242,560989091,844407073,19,1,15
243,560989092,560989091,5,1,15
244,560989092,531390712,145,1,15
245,560989092,844418826,64,0,10
246,560989092,589805464,367,1,15
247,54552191,54552192,11,0,10
249,54552191,575390875,14,1,15
251,54552192,575391660,7,1,15
253,54552192,54552191,11,1,15
255,54552193,266262714,25,0,10
257,54552193,575391661,26,1,15
259,710018065,634775683,6,1,15
260,710018065,710018068,7,1,15
261,710018065,634777966,103,1,15
262,710018068,710018065,7,2,20
263,710018068,634775754,48,1,15
264,710018068,4969353892,73,1,15
265,589431853,589431885,61,2,20
267,589431853,1327098219,3,1,15
268,589431853,2776396941,99,0,10
269,560989237,2347007247,8,1,15
270,560989237,844489668,3,1,15
271,560989237,528650475,31,1,15
272,589431885,589431853,61,2,20
274,589431885,1327054082,22,1,15
276,589431885,1327054079,51,2,20
278,579994721,579994432,189,2,20
279,358351976,702372978,130,1,15
280,358351976,3555788057,226,1,15
281,358351976,3777872792,300,0,10
282,575538325,576818194,4,0,10
283,575538325,575539863,9,1,15
285,575538325,746924824,9,0,10
286,282854566,282854567,39,1,15
288,282854566,282854783,60,1,15
290,282854567,282854568,46,1,15
292,282854567,282854566,39,1,15
294,282854568,282854569,75,1,15
296,282854568,282854567,46,1,15
298,282854569,282854570,99,2,20
300,282854569,282854568,75,2,20
302,282854570,282854571,67,2,20
304,282854570,282854569,99,1,15
306,282854571,282854572,72,1,15
308,282854571,282854570,67,1,15
310,282854572,5668043860,26,1,15
312,282854572,282854571,72,2,20
314,282854573,282854576,81,0,10
316,282854573,5668043860,35,1,15
318,282854576,282854595,117,1,15
320,282854576,282854573,81,1,15
322,579994804,579994807,184,1,15
323,579994804,579993932,32,0,10
324,579994804,579994871,185,1,15
325,579994807,579994804,184,0,10
326,1224869047,1224869086,49,1,15
329,1224869047,253027678,301,1,15
330,1224869048,1224869101,5,2,20
331,1224869048,1224856493,3,1,15
332,1224869048,635530028,163,1,15
333,1224869051,1224869069,51,2,20
334,1224869051,1224856497,8,2,20
335,1224869051,1224869056,8,1,15
336,1224869049,1224869101,7,1,15
337,1224869049,122749830,13,0,10
338,1224869049,1224869065,15,2,20
339,1224869055,1224854777,5,1,15
340,1224869055,635529738,19,0,10
341,1224869056,1224856493,5,1,15
342,1224869056,1224869051,8,0,10
343,1224869056,277125043,158,1,15
344,1224869058,1224854777,63,1,15
345,1224869058,1224856497,9,1,15
346,1224869058,1224869091,6,1,15
347,1224869059,1224869063,11,1,15
350,282854595,282854597,26,1,15
352,282854595,282854576,117,1,15
354,1224869063,1224869059,11,1,15
355,1224869063,1224869068,4,1,15
356,1224869063,1224869095,4,1,15
357,282854597,5668043852,28,0,10
359,282854597,282854595,26,1,15
361,1224869065,122749830,7,0,10
362,1224869065,1224869095,15,2,20
363,1224869065,1224869049,15,2,20
364,1224869065,122752286,57,0,10
365,282854603,282854607,44,0,10
367,282854603,5668043851,25,0,10
369,1224869069,1224869051,51,1,15
370,1224869069,635529738,7,0,10
371,1224869069,1224869075,59,2,20
372,1224869068,635529683,5,1,15
373,1224869068,1224869063,4,1,15
374,1224869068,635493548,117,1,15
375,282854607,5668043850,37,1,15
377,282854607,282854603,44,2,20
379,1224869075,1224869069,59,2,20
380,1224869075,1224854742,80,2,20
381,1224869075,1224854729,189,2,20
382,250479829,610682590,240,0,10
383,250479829,1982440009,55,1,15
384,250479829,1657117886,239,0,10
385,282854608,282854610,107,1,15
387,282854608,5668043850,40,1,15
389,282854610,282854611,66,0,10
391,282854610,282854608,107,2,20
393,282854611,5668043846,22,1,15
395,282854611,282854610,66,1,15
397,250479836,2236727840,2,0,10
398,250479836,2013560660,56,2,20
399,250479836,250480609,13,1,15
400,1224869086,1224869089,23,1,15
401,1224869086,1224869047,49,1,15
404,282854624,282854625,37,0,10
406,282854624,282854613,77,1,15
408,1224869089,1224869100,38,0,10
411,1224869089,1224869086,23,0,10
412,282854625,282854627,21,1,15
414,282854625,282854624,37,0,10
416,1224869091,1224854753,30,0,10
417,1224869091,1224869058,6,1,15
418,1224869091,1224869102,6,0,10
419,282854627,282854637,96,1,15
421,282854627,282854625,21,1,15
423,1224869095,1224869063,4,1,15
424,1224869095,1224869065,15,0,10
425,1224869095,122752442,57,2,20
426,250479850,1463620600,116,2,20
427,250479850,1463620531,4,1,15
428,250479850,250479864,96,0,10
429,1224869100,1224869089,38,2,20
432,1224869100,506050894,239,1,15
433,1224869101,1224869049,7,2,20
434,1224869101,1224869048,5,2,20
435,1224869101,277125478,13,2,20
436,1224869102,1224869091,6,1,15
437,1224869102,635529683,7,1,15
438,1224869102,122749676,14,0,10
439,250479854,4360100214,12,1,15
440,250479854,1982439988,9,1,15
441,3281126640,3281126656,18,1,15
442,3281126640,3281126649,21,2,20
444,3281126640,4973179165,9,2,20
445,282854637,282854638,123,0,10
447,282854637,282854627,96,2,20
449,3281126642,3281126649,18,1,15
450,3281126642,3281126656,20,0,10
452,3281126642,4462665105,22,0,10
453,282854638,282854639,76,1,15
455,282854638,282854637,123,1,15
457,250479861,309347101,43,1,15
458,250479861,1982447702,8,0,10
459,579994871,579994804,185,1,15
460,5856691446,2960006640,1,1,15
461,5856691446,1964021906,16,1,15
462,5856691446,5856691447,18,1,15
463,5856691447,5856691446,18,2,20
464,3281126649,3281126640,21,0,10
466,3281126649,3281126642,18,0,10
467,3281126649,4973179167,26,1,15
468,250479864,1463620982,5,0,10
469,250479864,1463620715,20,0,10
470,3281126656,3281126642,20,0,10
472,3281126656,3281126640,18,1,15
473,3281126656,4462665107,22,0,10
474,579994885,579994943,29,2,20
475,579994885,579994959,233,2,20
476,579994885,579993932,31,2,20
477,634782982,634783034,18,1,15
478,634782982,634783036,101,1,15
480,250479882,4294210508,232,2,20
481,250479882,356085165,59,2,20
482,250479882,1463620992,5,2,20
483,777782541,777783101,13,1,15
484,777782541,3218293548,26,1,15
485,777782541,777782984,23,1,15
486,250479885,3431070188,69,2,20
487,250479885,1463620621,5,1,15
488,250479885,250479882,103,1,15
489,2577925392,55931058,101,2,20
490,2577925392,579515304,155,2,20
491,250479896,3431070188,66,1,15
492,250479896,1463547093,112,1,15
493,250479896,1463547084,61,0,10
494,250479899,349920107,8,2,20
495,250479903,443274289,4,0,10
496,634783016,634783340,78,1,15
497,634783016,634780107,5,2,20
499,634783016,634780119,11,1,15
500,634783034,634782982,18,2,20
501,634783034,634783035,101,1,15
502,634783034,634783037,102,1,15
503,634783035,634783037,17,2,20
504,634783035,634783036,17,0,10
505,634783035,634783034,101,1,15
506,634783036,634783035,17,1,15
507,634783036,634782982,101,1,15
509,634783037,634783035,17,1,15
510,634783037,634783038,16,1,15
511,634783037,634783034,102,1,15
512,634783038,634783041,28,1,15
513,634783038,634783037,16,1,15
514,579994943,579994944,27,0,10
515,579994943,579994885,29,1,15
516,579994943,579995038,190,1,15
517,579994944,579994943,27,1,15
518,579994944,579994975,178,0,10
519,579994944,579995171,177,1,15
520,634783041,634783053,5,1,15
521,634783041,634783067,23,2,20
522,634783053,634783069,2,1,15
523,634783053,634783041,5,1,15
524,634783053,634783038,29,2,20
525,579994959,579994885,233,1,15
526,634783067,634783041,23,1,15
527,634783069,634780142,32,0,10
529,634783069,310728547,37,1,15
531,634783069,634783053,2,1,15
532,579994975,579994944,178,1,15
533,282854772,282852909,9,1,15
535,282854772,299027987,14,2,20
537,282854778,282854783,45,1,15
539,282854778,282852908,42,1,15
540,282854778,282858513,52,1,15
541,282854783,282854566,60,2,20
543,282854783,282854778,45,0,10
545,250480014,30947984,90,1,15
546,250480014,250480593,29,1,15
547,250480014,5167159978,31,0,10
548,579995038,579994943,190,1,15
549,560989599,560989610,4,0,10
550,560989599,310957465,13,1,15
551,560989600,844461604,5,1,15
552,560989600,560989599,5,0,10
553,2170946978,2170946982,9,1,15
554,2170946980,2029614911,20,2,20
555,2170946980,2213981040,32,1,15
556,2170946980,2170946982,20,0,10
557,2170946982,2170946978,9,0,10
558,2170946982,2170946980,20,1,15
559,2170946982,2170946981,10,2,20
560,2170946981,2170946982,10,0,10
561,560989608,301544549,4,1,15
562,560989608,844489469,3,1,15
563,560989608,844489301,45,1,15
564,560989610,560989611,4,1,15
565,560989610,844462403,6,1,15
566,560989611,844462098,5,2,20
567,560989611,560989600,4,1,15
568,591398356,591398359,24,1,15
569,591398359,591408190,113,2,20
570,591398359,4520380452,6,0,10
571,591398359,591408000,43,1,15
572,2789606893,2213981051,43,1,15
573,2789606893,2789606894,35,0,10
574,2789606894,2789606893,35,0,10
575,2789606895,2789606893,9,0,10
576,2789606895,2789606898,31,1,15
577,2789606898,2789606895,31,2,20
578,363988495,5864704367,67,0,10
579,363988495,384579128,9,1,15
580,363988495,3518544268,128,0,10
581,363988495,5864704368,62,0,10
582,579995171,579994944,177,1,15
583,1132070452,26680084,63,2,20
584,1132070463,1132069649,39,1,15
585,3143370318,122751902,45,0,10
586,3143370319,6024429123,33,2,20
587,3143370319,122751902,64,1,15
588,3143370319,307349873,117,0,10
589,634783340,634783016,78,1,15
590,634783340,634783346,12,2,20
592,634783340,634783347,12,2,20
593,634783346,634783340,12,1,15
595,634783346,634780265,20,2,20
596,634783346,634783347,13,2,20
597,634783347,634780144,41,2,20
598,634783347,634783346,13,0,10
599,634783347,634783340,12,2,20
600,608962168,608962176,60,1,15
602,608962168,561538826,72,1,15
603,1879180926,1879180932,13,2,20
604,608962176,608962184,47,2,20
605,608962176,608962168,60,0,10
607,608962176,2621587173,104,2,20
608,1879180932,1879180926,13,1,15
609,1879180932,2383218751,21,2,20
610,1879180932,2383218750,19,0,10
611,1879180936,1888086809,47,1,15
612,1879180936,363385943,26,1,15
613,1879180936,3155747268,19,1,15
614,608962184,541122905,9,0,10
615,608962184,2567155992,154,1,15
616,608962184,31477180,150,1,15
617,608962184,608962176,47,0,10
618,576860418,643991276,9,0,10
619,576860418,259159152,7,2,20
620,576860418,576860085,9,2,20
621,578058793,578120893,13,1,15
623,578058793,578120871,47,1,15
625,777782973,777783101,21,1,15
626,777782973,777782984,14,1,15
627,777782973,3218293554,27,1,15
628,777782984,777782973,14,1,15
629,777782984,1833123397,87,1,15
630,266733258,30944137,16,0,10
631,266733258,266733534,149,2,20
632,634783440,634780144,43,0,10
633,634783440,441031530,45,1,15
634,634783440,634783441,15,1,15
635,634783441,634779528,47,1,15
636,634783441,441031812,42,1,15
637,634783441,634783440,15,1,15
638,2187986713,3191033052,15,1,15
639,2187986713,6167418089,3,1,15
640,2187986713,6167418088,3,2,20
641,1224869661,301545280,211,2,20
642,1224869661,709966972,18,2,20
643,1224869661,710004546,211,1,15
644,1224869661,709972143,134,1,15
645,2187986724,2187983877,40,2,20
646,1224869676,634774941,14,0,10
647,1224869676,1224869677,186,2,20
648,1224869676,634780142,16,1,15
649,1224869677,41675612,17,1,15
650,1224869677,310728546,115,1,15
651,1224869677,1224869676,186,0,10
652,634783548,441031274,14,1,15
653,777783101,777783111,20,2,20
654,777783101,777782541,13,2,20
655,777783111,777783475,18,1,15
656,777783111,777783233,59,1,15
657,777783111,777783157,13,2,20
658,634783563,634783564,5,1,15
660,634783563,634783915,10,1,15
662,634783564,634783565,12,1,15
664,634783564,634783563,5,1,15
666,634783565,634783566,6,1,15
668,634783565,634783564,12,2,20
670,634783566,634783917,6,0,10
672,634783566,634783565,6,1,15
674,634783568,310728586,5,0,10
676,634783568,634783923,5,1,15
678,634783569,634783570,7,1,15
680,634783569,310728586,17,1,15
682,1224869714,1224869715,46,1,15
685,1224869714,709966960,35,1,15
686,1224869715,1224869714,46,2,20
689,1224869715,709966972,35,1,15
690,634783572,634783574,3,1,15
692,634783572,634783571,3,2,20
694,634783571,634783572,3,1,15
696,634783571,634783570,44,1,15
698,634783574,634783575,10,2,20
700,634783574,634783572,3,2,20
702,634783575,634783576,15,2,20
704,634783575,634783574,10,1,15
706,634783576,634783577,18,0,10
708,634783576,634783575,15,2,20
710,634783577,634783578,6,1,15
712,634783577,634783576,18,0,10
714,634783578,634783577,6,0,10
716,634783578,634784032,28,1,15
717,634783578,634783937,42,0,10
718,634783570,634783571,44,1,15
720,634783570,634783569,7,1,15
722,777783157,777783111,13,2,20
723,777783157,777782541,21,1,15
724,777783233,777783111,59,0,10
725,1367607235,370242273,21,1,15
726,1367607235,1367607237,12,1,15
727,1367607237,1367607240,118,1,15
728,1367607237,1367607235,12,2,20
729,1367607240,242532860,65,2,20
730,1367607240,370242314,10,2,20
731,250480593,250480014,29,1,15
732,250480593,5167159988,8,0,10
733,250480593,250480602,76,0,10
734,634783701,441031803,9,2,20
735,634783701,441031801,20,1,15
736,634783701,634783795,39,1,15
737,250480602,250480593,76,0,10
738,250480602,2481930754,39,1,15
739,250480602,443302595,86,1,15
740,202508252,3164000434,693,2,20
741,202508252,2143829872,1505,0,10
742,202508252,202495424,945,2,20
743,266733534,381825173,15,1,15
744,266733534,2189398750,75,1,15
745,250480609,4283908175,2,1,15
746,250480609,250479836,13,1,15
747,250480609,250480641,74,1,15
748,3810929387,3810929388,91,2,20
749,250480634,2312383364,118,1,15
751,250480634,2312383363,28,1,15
752,250480634,332794366,144,2,20
753,250480634,2312383359,160,1,15
754,250480641,4283908174,2,2,20
755,250480641,250480609,74,0,10
756,250480641,30947985,30,0,10
757,250480649,30947985,39,1,15
758,250480649,30947983,50,0,10
759,54396941,387153056,19,1,15
760,54396941,283334500,36,2,20
761,54396941,387153040,12,1,15
762,250480655,2236727765,2,1,15
763,250480655,705744124,79,0,10
764,250480655,30948020,22,0,10
765,777783313,777783392,36,1,15
766,777783313,777783475,13,1,15
767,777783313,777783157,18,0,10
768,54396946,54392209,100,1,15
769,54396946,387153063,13,1,15
770,250480659,2481930669,25,2,20
771,250480659,250480672,79,1,15
772,250480659,332794352,80,0,10
773,250480662,315714849,46,0,10
774,250480662,35301705,64,0,10
775,250480662,2672365503,49,2,20
776,250480666,250480669,72,1,15
777,250480666,2237521759,68,1,15
778,250480669,2236727775,2,1,15
779,250480669,30948020,57,1,15
780,250480669,250480666,72,2,20
781,250480672,250480677,72,2,20
782,250480672,250480659,79,0,10
783,54396965,2207661092,5,1,15
784,54396965,2207663849,59,0,10
785,250480677,2481930667,29,1,15
786,250480677,2672365503,27,1,15
787,250480677,250480672,72,1,15
788,54396972,387153042,10,0,10
789,54396972,54399667,36,1,15
790,4976805932,3114181811,6,0,10
792,4976805932,3114181810,6,1,15
794,634783795,310727784,17,2,20
795,634783795,310728100,44,1,15
796,634783795,634783701,39,0,10
797,54396984,3094966838,35,0,10
798,54396984,387153043,10,1,15
799,54397000,54397028,39,1,15
800,54397000,54397007,131,1,15
801,54397000,1982491305,19,1,15
802,54397007,3222703099,7,0,10
803,54397007,54397000,131,1,15
804,54397007,54397028,136,1,15
805,777783392,777783433,9,1,15
806,777783392,777783394,12,1,15
807,777783392,777783313,36,2,20
808,777783394,777783392,12,0,10
809,54397028,54397000,39,1,15
810,54397028,54397007,136,0,10
811,54397028,3222703090,16,1,15
812,634783845,3158860635,12,2,20
813,634783845,633912993,110,1,15
814,634783845,123087006,36,2,20
815,591399036,2173290777,8,2,20
816,591399036,591408004,87,0,10
817,777783433,777783392,9,1,15
818,634783910,634783911,22,2,20
820,634783910,634783955,16,1,15
822,634783911,634783912,20,2,20
824,634783911,634783910,22,0,10
826,634783912,634783913,3,0,10
828,634783912,634783911,20,1,15
830,634783913,634783914,7,0,10
832,634783913,634783912,3,2,20
834,634783914,310728585,16,2,20
835,634783914,634783913,7,2,20
837,634783914,634784114,13,1,15
838,634783915,310728585,8,0,10
840,634783915,634783563,10,2,20
842,634783917,634783566,6,0,10
844,634783917,634783919,22,1,15
846,634783919,634783920,8,1,15
848,634783919,634783917,22,0,10
850,634783920,634783923,14,1,15
852,634783920,634783919,8,1,15
854,777783475,3218293552,39,1,15
855,777783475,777783313,13,0,10
856,634783937,634783938,9,1,15
858,634783937,634783578,42,1,15
859,634783937,634774998,38,1,15
860,634783938,634783939,7,0,10
862,634783938,634783937,9,1,15
864,634783939,634783940,8,0,10
866,634783939,634783938,7,2,20
868,634783940,634783941,8,1,15
870,634783940,634783939,8,2,20
872,634783941,634783940,8,1,15
874,634783941,1224831058,9,0,10
876,634783943,634783944,23,1,15
878,634783943,1224831058,8,1,15
880,634783944,634783945,6,2,20
882,634783944,634783943,23,2,20
884,634783945,634783946,3,1,15
886,634783945,634783944,6,2,20
888,634783946,634783947,12,2,20
890,634783946,634783945,3,0,10
892,634783947,634783948,14,2,20
894,634783947,634783946,12,2,20
896,634783948,634783949,13,2,20
898,634783948,634783947,14,1,15
900,634783949,634783950,13,1,15
902,634783949,634783948,13,0,10
904,634783950,634783951,15,2,20
906,634783950,634783949,13,0,10
908,634783951,634783952,12,0,10
910,634783951,634783950,15,1,15
912,634783952,634783953,12,2,20
914,634783952,634783951,12,1,15
916,634783953,634783954,3,0,10
918,634783953,634783952,12,2,20
920,634783954,634783955,5,1,15
922,634783954,634783953,3,1,15
924,634783955,634783910,16,2,20
926,634783955,634783954,5,2,20
928,107156490,1496246612,42,1,15
930,107156490,107156483,30,0,10
932,356124906,576840050,37,1,15
933,356124906,356125188,106,1,15
934,356124906,356125376,52,2,20
935,906234093,128891277,16,1,15
936,906234093,541122905,283,2,20
937,906234093,2384157684,134,1,15
938,906234095,3067843936,9,0,10
939,906234095,305909758,124,1,15
940,906234095,2384157684,191,0,10
941,777783546,777783548,13,1,15
942,777783546,777778401,18,1,15
943,777783548,777783546,13,1,15
944,777783548,777783313,56,1,15
945,634784023,634784034,40,1,15
946,634784023,634784030,55,1,15
947,634784023,634784024,9,1,15
948,634784024,634784033,40,2,20
949,634784024,634784025,54,2,20
950,634784024,634784023,9,0,10
951,634784025,634784024,54,1,15
952,634784025,634784032,13,0,10
953,634784025,634784030,9,1,15
954,634784030,634784023,55,1,15
955,634784030,634784031,13,0,10
956,634784030,634784025,9,1,15
957,634784031,634784030,13,0,10
958,634784031,709953306,3,2,20
959,634784031,634784032,9,1,15
960,634784032,634784025,13,1,15
961,634784032,634784031,9,2,20
962,634784032,634783578,28,0,10
963,634784033,310728585,19,1,15
964,634784033,634784024,40,1,15
965,634784033,634784034,9,1,15
966,634784034,310727784,40,1,15
967,634784034,634784023,40,0,10
968,634784034,634784033,9,0,10
969,266733877,266733883,35,0,10
971,266733877,266733899,50,1,15
972,266733877,588191349,58,1,15
973,266733883,266733899,35,1,15
975,266733883,266733877,35,2,20
977,356124993,269327967,66,2,20
978,356124993,356125087,107,1,15
979,266733899,266733883,35,1,15
981,266733899,588194333,5,1,15
982,266733899,266733877,50,0,10
983,575539547,575539863,84,1,15
985,575539547,576818194,92,1,15
986,575539547,2177831012,39,1,15
987,634784108,634784123,15,1,15
989,634784108,634784124,104,1,15
990,634784108,1224821965,23,2,20
991,634784114,1224821969,26,1,15
993,634784114,634784124,21,1,15
994,634784114,634783914,13,1,15
995,634784116,634784118,19,2,20
997,634784116,1224821969,16,1,15
999,634784118,634784119,10,2,20
1001,634784118,634784116,19,1,15
1003,634784119,634784120,17,1,15
1005,634784119,634784118,10,1,15
1007,634784120,634784121,16,2,20
1009,634784120,634784119,17,0,10
1011,634784121,634784122,20,2,20
1013,634784121,634784120,16,2,20
1015,634784122,634784123,15,0,10
1017,634784122,634784121,20,0,10
1019,634784123,634784108,15,2,20
1021,634784123,634784122,15,1,15
1023,634784124,634784114,21,1,15
1024,634784124,634784125,9,1,15
1025,634784124,634784108,104,0,10
1026,634784125,634784134,74,0,10
1027,634784125,310727784,27,1,15
1028,634784125,634784124,9,1,15
1029,634784134,634784125,74,2,20
1030,634784134,634784608,26,1,15
1031,128977294,113541129,40,0,10
1032,634784144,1560149546,4,0,10
1034,634784144,1560149575,30,1,15
1035,634784144,1560149552,77,0,10
1036,123079071,6167231026,101,0,10
1037,123079071,370285607,22,2,20
1038,123079071,633912912,12,0,10
1039,2346846623,233578163,50,0,10
1040,2346846623,2346846624,31,1,15
1041,2346846623,233578139,73,2,20
1042,2346846625,233578163,46,2,20
1043,2346846625,2346846629,49,1,15
1044,2346846624,2346846629,16,1,15
1045,2346846624,2346846623,31,0,10
1046,2346846624,2346846627,35,2,20
1047,95553961,95558982,14,1,15
1048,2346846629,2346846626,12,1,15
1049,2346846629,2346846624,16,2,20
1050,2346846629,2346846625,49,2,20
1051,2346846626,2346846629,12,0,10
1052,2346846627,2346846624,35,1,15
1053,634784173,634784174,10,1,15
1055,634784173,1560149536,46,1,15
1057,634784174,634784175,26,2,20
1059,634784174,634784173,10,2,20
1061,634784175,634784172,22,2,20
1063,634784175,634784174,26,0,10
